Season,AvgTime,FirstGame,LastGame,NbGames,Region,TournamentName
S8,1965,2018-08-13,2018-08-19,36,SEA,SEA Tour Summer 2018
S8,2151,2018-07-21,2018-08-19,58,CIS,LCL Summer 2018
S8,1779,2018-06-21,2018-08-19,130,VN,VCS Summer 2018
S8,2003,2018-06-15,2018-08-19,93,EUW,EU LCS Summer 2018
S8,2089,2018-06-23,2018-08-18,136,TW,LMS Summer 2018
S8,1952,2018-06-08,2018-08-18,94,OCE,OPL Split 2 2018
S8,2064,2018-06-22,2018-08-11,75,JP,LJL Summer 2018
S8,2048,2018-06-15,2018-08-11,89,NA,NA Academy Summer 2018
S8,1947,2018-07-26,2018-08-09,29,CZ,Hitpoint Masters Season 10
S8,2100,2018-06-12,2018-08-09,218,KR,LCK Summer 2018
S8,1993,2018-06-09,2018-08-05,70,BR,CBLOL Winter 2018
S8,1884,2018-05-21,2018-07-09,48,PT,LPLOL Summer 2018
S8,2024,2018-07-04,2018-07-08,21,WR,LLN-CLS-CBLOL Rift-Rivals 2018
S8,1902,2018-07-05,2018-07-08,20,WR,LCK-LPL-LMS Rift-Rivals 2018
S8,1896,2018-07-05,2018-07-07,13,WR,NA LCS-EULCS Rift-Rivals 2018
S8,1925,2018-07-04,2018-07-07,19,WR,LCL-TCL-VCS Rift-Rivals 2018
S8,1881,2018-07-02,2018-07-05,19,WR,SEA-LJL-OPL Rift-Rivals 2018
S8,2064,2018-05-11,2018-05-20,43,WR,Mid-Season Invitational 2018
S8,1931,2018-05-03,2018-05-09,31,WR,MSI Play-In 2018
S8,2034,2018-04-14,2018-04-29,57,EUW,EU Masters Spring 2018
S8,2062,2018-04-12,2018-04-28,30,CN,LPL Spring Playoffs 2018
S8,2068,2018-04-14,2018-04-22,10,TW,LMS Spring Playoffs 2018
S8,2249,2018-04-17,2018-04-22,17,KR,LCK Summer Promotion 2018
S8,1867,2018-04-07,2018-04-22,21,TR,TCL Spring Playoffs 2018
S8,2223,2018-03-31,2018-04-21,21,LAN,LLN Spring Playoffs 2018
S8,2141,2018-03-31,2018-04-14,15,KR,LCK Spring Playoffs 2018
S8,2382,2018-04-07,2018-04-14,7,JP,LJL Spring Playoffs 2018
S8,2128,2018-03-29,2018-04-14,20,LAS,CLS Opening Playoffs 2018
S8,2058,2018-01-15,2018-04-08,317,CN,LPL Spring 2018
S8,2017,2018-03-24,2018-04-08,22,NA,NA LCS Spring Playoffs 2018
S8,2045,2018-03-23,2018-04-08,24,EUW,EU LCS Spring Playoffs 2018
S8,2203,2018-03-17,2018-04-07,18,BR,CBLOL Summer Playoffs 2018
S8,2091,2018-03-30,2018-04-07,13,VN,VCS Spring Playoffs 2018
S8,1608,2018-04-01,2018-04-02,9,CZ,Hitpoint LEGENDS 1
S8,2254,2018-01-20,2018-04-01,133,TW,LMS Spring 2018
S8,1966,2018-03-17,2018-04-01,12,CIS,LCL Spring Playoffs 2018
S8,2226,2018-03-22,2018-03-31,12,NA,NA Academy Spring Playoffs 2018
S8,2038,2018-03-23,2018-03-31,19,OCE,OPL Split 1 Playoffs 2018
S8,2114,2018-02-09,2018-03-30,69,JP,LJL Spring 2018
S8,1948,2018-01-20,2018-03-26,112,TR,TCL Spring 2018
S8,2284,2018-01-16,2018-03-25,214,KR,LCK Spring 2018
S8,2018,2018-01-28,2018-03-25,123,ES,LVP Spring 2018
S8,2082,2018-01-20,2018-03-25,84,LAS,CLS Opening 2018
S8,2159,2018-01-20,2018-03-24,43,LAN,LLN Spring 2018
S8,1674,2018-03-06,2018-03-21,27,CZ,Hitpoint Masters Season 9
S8,2025,2018-01-20,2018-03-18,93,OCE,OPL Split 1 2018
S8,1917,2018-01-18,2018-03-18,134,VN,VCS Spring 2018
S8,2269,2018-01-20,2018-03-18,95,NA,NA LCS Spring 2018
S8,2327,2018-01-19,2018-03-17,91,EUW,EU LCS Spring 2018
S8,2131,2018-01-19,2018-03-16,91,NA,NA Academy Spring 2018
S8,2168,2018-01-20,2018-03-11,66,BR,CBLOL Summer 2018
S8,2092,2018-02-10,2018-03-11,58,CIS,LCL Spring 2018
S8,2229,2017-11-20,2017-12-02,46,KR,Kespa Cup 2017
S8,1954,2017-11-10,2017-11-29,41,EUW,Challenge France 2017
S9,1965,2019-10-12,2019-11-10,77,WR,World Championship 2019
S9,1825,2019-11-08,2019-11-10,22,CZ,MCR LoL 2019
S9,1977,2019-10-30,2019-10-31,9,FR,LFL Finals 2019
S9,2064,2019-10-02,2019-10-08,43,WR,World Championship Play-In 2019
S9,1960,2019-09-16,2019-09-29,44,EUW,EU Master Summer 2019
S9,1926,2019-09-01,2019-09-16,9,JP,LJL Summer Playoffs 2019
S9,1788,2019-09-07,2019-09-15,12,SEA,LST Summer Playoffs 2019
S9,1953,2019-09-13,2019-09-15,11,EUW,LEC Regional Finals 2019
S9,1959,2019-08-31,2019-09-15,13,CIS,LCL Summer Playoffs 2019
S9,1861,2019-08-24,2019-09-15,17,VN,VCS Summer Playoffs 2019
S9,1994,2019-09-09,2019-09-12,25,EUW,EU Master Summer Play-In 2019
S9,2193,2019-09-09,2019-09-11,16,KR,LCK Spring Promotion 2020
S9,1907,2019-08-23,2019-09-08,24,EUW,LEC Summer Playoffs 2019
S9,2004,2019-09-06,2019-09-08,10,TW,LMS Regional Finals 2019
S9,2134,2019-09-06,2019-09-08,13,NA,LCS Regional Finals 2019
S9,1817,2019-09-07,2019-09-08,10,CN,LPL Regional Finals 2019
S9,1781,2019-08-24,2019-09-07,12,BR,CBLOL Winter Playoffs 2019
S9,1840,2019-09-03,2019-09-07,13,KR,LCK Regional Finals 2019
S9,1973,2019-08-22,2019-09-06,31,CN,LPL Summer Playoffs 2019
S9,1710,2019-07-20,2019-09-01,62,SEA,LST Summer 2019
S9,2057,2019-06-03,2019-09-01,113,ES,LVP SLO Summer 2019
S9,1955,2019-08-17,2019-08-31,20,TR,TCL Summer Playoffs 2019
S9,2038,2019-08-21,2019-08-31,13,KR,LCK Summer Playoffs 2019
S9,2070,2019-08-10,2019-08-31,19,LAT,LLA Closing Playoffs 2019
